"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$153.300000 monthly","unavailable","$0.27 hourly","$0.206 hourly","$0.31 hourly","$0.182 hourly","$274.480000 monthly","unavailable","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.278 hourly","$0.2 hourly","$0.69 hourly","$0.613 hourly","$1.71 hourly","$1.633 hourly","unavailable","$0.053 hourly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$157.680000 monthly","$56.940000 monthly","$0.276 hourly","$0.196 hourly","$0.341 hourly","$0.186 hourly","$292.000000 monthly","$191.260000 monthly","$0.468 hourly","$0.388 hourly","$0.88 hourly","$0.8 hourly","$1.9 hourly","$1.82 hourly","$0.284 hourly","$0.204 hourly","$0.696 hourly","$0.616 hourly","$1.716 hourly","$1.636 hourly","0","$0.054 hourly"
"I3EN Large","i3en.large","16.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","unknown","1250 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$164.980000 monthly","$71.540000 monthly","$0.286 hourly","$0.214 hourly","$0.289 hourly","$0.179 hourly","$232.140000 monthly","$138.700000 monthly","$0.386 hourly","$0.314 hourly","$0.798 hourly","$0.726 hourly","unavailable","unavailable","$0.294 hourly","$0.222 hourly","$0.706 hourly","$0.634 hourly","unavailable","unavailable","0","unavailable"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","16 units","4 vCPUs","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$164.980000 monthly","$72.270000 monthly","$0.286 hourly","$0.204 hourly","$0.326 hourly","$0.177 hourly","$299.300000 monthly","$206.590000 monthly","$0.478 hourly","$0.396 hourly","$0.89 hourly","$0.808 hourly","$1.91 hourly","$1.828 hourly","$0.294 hourly","$0.212 hourly","$0.706 hourly","$0.624 hourly","$1.726 hourly","$1.644 hourly","0","$0.057 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$164.980000 monthly","$75.190000 monthly","$0.286 hourly","$0.203 hourly","$0.351 hourly","$0.193 hourly","$299.300000 monthly","$209.510000 monthly","$0.478 hourly","$0.394 hourly","$0.89 hourly","$0.807 hourly","$1.91 hourly","$1.827 hourly","$0.294 hourly","$0.21 hourly","$0.706 hourly","$0.623 hourly","$1.726 hourly","$1.643 hourly","0","$0.057 hourly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$178.850000 monthly","unavailable","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","$251.850000 monthly","unavailable","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.062 hourly"
"R5 Extra Large","r5.xlarge","32.0 GiB","19 units","4 vCPUs","0","None","0 GiB","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$183.960000 monthly","$83.220000 monthly","$0.312 hourly","$0.219 hourly","$0.377 hourly","$0.209 hourly","$318.280000 monthly","$217.540000 monthly","$0.504 hourly","$0.41 hourly","$0.916 hourly","$0.823 hourly","$1.936 hourly","$1.843 hourly","$0.32 hourly","$0.226 hourly","$0.732 hourly","$0.639 hourly","$1.752 hourly","$1.659 hourly","0","$0.063 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$191.260000 monthly","$85.410000 monthly","$0.322 hourly","$0.226 hourly","$0.387 hourly","$0.216 hourly","$325.580000 monthly","$219.730000 monthly","$0.514 hourly","$0.417 hourly","$0.926 hourly","$0.83 hourly","$1.946 hourly","$1.85 hourly","$0.33 hourly","$0.233 hourly","$0.742 hourly","$0.646 hourly","$1.762 hourly","$1.666 hourly","0","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","HVM, PV","Yes","$194.180000 monthly","unavailable","$0.326 hourly","$0.25 hourly","$0.366 hourly","$0.223 hourly","$378.140000 monthly","unavailable","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.336 hourly","$0.24 hourly","$0.748 hourly","$0.653 hourly","$1.768 hourly","$1.673 hourly","unavailable","$0.070 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","13.5 units","4 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$194.180000 monthly","$83.585000 monthly","$0.396 hourly","$0.228 hourly","$0.366 hourly","$0.201 hourly","$328.500000 monthly","$217.905000 monthly","$0.521 hourly","$0.423 hourly","$0.93 hourly","$0.832 hourly","$1.95 hourly","$1.852 hourly","$0.3336 hourly","$0.2356 hourly","$0.746 hourly","$0.648 hourly","$1.766 hourly","$1.668 hourly","0","$0.067 hourly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","19 units","4 vCPUs","0","None","0 GiB","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$210.240000 monthly","$94.170000 monthly","$0.348 hourly","$0.242 hourly","$0.413 hourly","$0.232 hourly","$344.560000 monthly","$228.490000 monthly","$0.54 hourly","$0.433 hourly","$0.952 hourly","$0.846 hourly","$1.972 hourly","$1.866 hourly","$0.356 hourly","$0.249 hourly","$0.768 hourly","$0.662 hourly","$1.788 hourly","$1.682 hourly","0","$0.072 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","Base performance:                 320%","8 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$219.584000 monthly","$94.827000 monthly","$0.4308 hourly","$0.3186 hourly","$0.4508 hourly","$0.2486 hourly","$327.040000 monthly","$202.283000 monthly","$0.5832 hourly","$0.471 hourly","$1.408 hourly","$1.2958 hourly","$3.448 hourly","$3.3358 hourly","$0.436 hourly","$0.3238 hourly","$1.2608 hourly","$1.1486 hourly","$3.3008 hourly","$3.1886 hourly","0","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","950 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$227.760000 monthly","$110.230000 monthly","$0.372 hourly","$0.274 hourly","$0.412 hourly","$0.247 hourly","$362.080000 monthly","$244.550000 monthly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","$1.996 hourly","$1.898 hourly","$0.38 hourly","$0.282 hourly","$0.792 hourly","$0.694 hourly","$1.812 hourly","$1.714 hourly","0","$0.078 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","Base performance:                 320%","8 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$242.944000 monthly","$105.120000 monthly","$0.4628 hourly","$0.3386 hourly","$0.4828 hourly","$0.2686 hourly","$350.400000 monthly","$212.576000 monthly","$0.6152 hourly","$0.491 hourly","$1.44 hourly","$1.3158 hourly","$3.48 hourly","$3.3558 hourly","$0.468 hourly","$0.3438 hourly","$1.2928 hourly","$1.1686 hourly","$3.3328 hourly","$3.2086 hourly","0","unavailable"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","80 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$243.090000 monthly","unavailable","$0.393 hourly","$0.269 hourly","$0.433 hourly","$0.242 hourly","$425.590000 monthly","unavailable","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$2.017 hourly","$1.895 hourly","$0.4 hourly","$0.256 hourly","$0.812 hourly","$0.668 hourly","$1.832 hourly","$1.688 hourly","unavailable","$0.090 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","34 units","8 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$248.200000 monthly","$103.660000 monthly","$0.47 hourly","$0.344 hourly","$0.44 hourly","$0.247 hourly","$516.840000 monthly","$372.300000 monthly","$0.843 hourly","$0.717 hourly","$1.668 hourly","$1.542 hourly","$3.708 hourly","$3.582 hourly","$0.475 hourly","$0.349 hourly","$1.3 hourly","$1.174 hourly","$3.34 hourly","$3.214 hourly","$0.00 hourly","$0.085 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$251.120000 monthly","$110.230000 monthly","$0.474 hourly","$0.349 hourly","$0.494 hourly","$0.279 hourly","$519.760000 monthly","$378.870000 monthly","$0.847 hourly","$0.722 hourly","$1.672 hourly","$1.547 hourly","$3.712 hourly","$3.587 hourly","$0.479 hourly","$0.354 hourly","$1.304 hourly","$1.179 hourly","$3.344 hourly","$3.219 hourly","0","$0.086 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","0","None","0 GiB","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$255.500000 monthly","unavailable","$0.41 hourly","$0.284 hourly","$0.45 hourly","$0.26 hourly","$436.540000 monthly","unavailable","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.088 hourly"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Base performance:                 136%","8 vCPUs                                                   for a                 4h 4.8m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$270.976000 monthly","$117.092000 monthly","$0.5012 hourly","$0.36 hourly","$0.4712 hourly","$0.263 hourly","$316.236000 monthly","$162.352000 monthly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","$3.4332 hourly","$3.292 hourly","$0.5064 hourly","$0.3652 hourly","unavailable","unavailable","$3.3712 hourly","$3.23 hourly","unavailable","unavailable"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","28 units","4 vCPUs","0","None","0 GiB","0","0","7 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","291.0 MB/s","13333.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$271.560000 monthly","$111.690000 monthly","$0.432 hourly","$0.295 hourly","$0.497 hourly","$0.285 hourly","$405.880000 monthly","$246.010000 monthly","$0.624 hourly","$0.487 hourly","$1.036 hourly","$0.899 hourly","$2.056 hourly","$1.919 hourly","$0.44 hourly","$0.303 hourly","$0.852 hourly","$0.715 hourly","$1.872 hourly","$1.735 hourly","0","$0.093 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","34 units","8 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","200 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$280.320000 monthly","$117.530000 monthly","$0.514 hourly","$0.372 hourly","$0.484 hourly","$0.275 hourly","$548.960000 monthly","$386.170000 monthly","$0.887 hourly","$0.745 hourly","$1.712 hourly","$1.57 hourly","$3.752 hourly","$3.61 hourly","$0.519 hourly","$0.377 hourly","$1.344 hourly","$1.202 hourly","$3.384 hourly","$3.242 hourly","0","$0.096 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","31 units","8 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$280.320000 monthly","$123.370000 monthly","$0.514 hourly","$0.375 hourly","$0.484 hourly","$0.278 hourly","$548.960000 monthly","$392.010000 monthly","$0.887 hourly","$0.749 hourly","$1.712 hourly","$1.573 hourly","$3.752 hourly","$3.613 hourly","$0.519 hourly","$0.381 hourly","$1.344 hourly","$1.205 hourly","$3.384 hourly","$3.245 hourly","0","$0.096 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","31 units","8 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$290.540000 monthly","$129.210000 monthly","$0.528 hourly","$0.382 hourly","$0.498 hourly","$0.285 hourly","$559.180000 monthly","$397.850000 monthly","$1.296 hourly","$0.761 hourly","$3.019 hourly","$2.525 hourly","$3.766 hourly","$3.62 hourly","$0.535 hourly","$0.387 hourly","$1.36 hourly","$1.212 hourly","$3.4 hourly","$3.252 hourly","$0.00 hourly","$0.105 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$292.000000 monthly","$126.144000 monthly","$0.53 hourly","$0.3778 hourly","$0.5 hourly","$0.2808 hourly","$560.640000 monthly","$394.784000 monthly","$0.9 hourly","$0.689 hourly","$1.728 hourly","$1.5758 hourly","$3.768 hourly","$3.6158 hourly","$0.5352 hourly","$0.383 hourly","$1.36 hourly","$1.2078 hourly","$3.4 hourly","$3.2478 hourly","$0.00 hourly","$0.120 hourly"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$297.840000 monthly","$128.699000 monthly","$0.538 hourly","$0.387 hourly","$0.558 hourly","$0.317 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$300.760000 monthly","$132.130000 monthly","$0.542 hourly","$0.393 hourly","$0.562 hourly","$0.323 hourly","$569.400000 monthly","$400.770000 monthly","$0.915 hourly","$0.767 hourly","$1.74 hourly","$1.591 hourly","$3.78 hourly","$3.631 hourly","$0.547 hourly","$0.399 hourly","$1.372 hourly","$1.223 hourly","$3.412 hourly","$3.263 hourly","0","unavailable"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$306.600000 monthly","unavailable","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$548.960000 monthly","unavailable","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.555 hourly","$0.401 hourly","$1.38 hourly","$1.225 hourly","$3.42 hourly","$3.265 hourly","unavailable","$0.105 hourly"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$315.360000 monthly","$114.610000 monthly","$0.562 hourly","$0.402 hourly","$0.582 hourly","$0.332 hourly","$584.000000 monthly","$383.250000 monthly","$0.935 hourly","$0.775 hourly","$1.76 hourly","$1.6 hourly","$3.8 hourly","$3.64 hourly","$0.567 hourly","$0.407 hourly","$1.392 hourly","$1.232 hourly","$3.432 hourly","$3.272 hourly","0","$0.108 hourly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","unknown","2500 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$329.960000 monthly","$143.810000 monthly","$0.512 hourly","$0.368 hourly","$0.577 hourly","$0.358 hourly","$464.280000 monthly","$278.130000 monthly","$0.704 hourly","$0.559 hourly","$1.116 hourly","$0.972 hourly","$2.136 hourly","$1.992 hourly","$0.52 hourly","$0.375 hourly","$0.932 hourly","$0.788 hourly","$1.952 hourly","$1.808 hourly","0","unavailable"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","31 units","8 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$329.960000 monthly","$144.540000 monthly","$0.582 hourly","$0.418 hourly","$0.552 hourly","$0.321 hourly","$598.600000 monthly","$413.180000 monthly","$0.955 hourly","$0.791 hourly","$1.78 hourly","$1.616 hourly","$3.82 hourly","$3.656 hourly","$0.587 hourly","$0.423 hourly","$1.412 hourly","$1.248 hourly","$3.452 hourly","$3.288 hourly","0","$0.113 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$329.960000 monthly","$149.650000 monthly","$0.582 hourly","$0.415 hourly","$0.602 hourly","$0.345 hourly","$598.600000 monthly","$418.290000 monthly","$0.955 hourly","$0.788 hourly","$1.78 hourly","$1.613 hourly","$3.82 hourly","$3.653 hourly","$0.587 hourly","$0.42 hourly","$1.412 hourly","$1.245 hourly","$3.452 hourly","$3.285 hourly","0","$0.113 hourly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$341.640000 monthly","$164.980000 monthly","$0.598 hourly","$0.448 hourly","$0.568 hourly","$0.351 hourly","$610.280000 monthly","$433.620000 monthly","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0","$0.117 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","850 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","PV","Yes","$357.700000 monthly","unavailable","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","$503.700000 monthly","unavailable","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.123 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","38 units","8 vCPUs","0","None","0 GiB","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","HVM","Yes","$367.920000 monthly","$167.170000 monthly","$0.634 hourly","$0.448 hourly","$0.654 hourly","$0.378 hourly","$636.560000 monthly","$435.810000 monthly","$1.007 hourly","$0.821 hourly","$1.832 hourly","$1.646 hourly","$3.872 hourly","$3.686 hourly","$0.639 hourly","$0.453 hourly","$1.464 hourly","$1.278 hourly","$3.504 hourly","$3.318 hourly","0","$0.126 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","None","0 GiB","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$379.600000 monthly","unavailable","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.4 hourly","$613.200000 monthly","unavailable","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.120 hourly"
