"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","None","0 GiB","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$94.900000 monthly","unavailable","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","$153.300000 monthly","unavailable","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.030 hourly"
"R5AD Large","r5ad.large","16.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$95.630000 monthly","$43.070000 monthly","$0.191 hourly","$0.143 hourly","$0.194 hourly","$0.108 hourly","$162.790000 monthly","$110.230000 monthly","$0.291 hourly","$0.243 hourly","$0.703 hourly","$0.655 hourly","unavailable","unavailable","$0.199 hourly","$0.151 hourly","$0.611 hourly","$0.563 hourly","unavailable","unavailable","0","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","6.5 units","2 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","32 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","No","No","No","No","HVM, PV","No","$97.090000 monthly","unavailable","$0.193 hourly","$0.155 hourly","$0.233 hourly","$0.128 hourly","$189.070000 monthly","unavailable","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable","unavailable","$0.202 hourly","$0.154 hourly","$0.614 hourly","$0.566 hourly","unavailable","unavailable","unavailable","unavailable"
"R4 High-Memory Large","r4.large","15.25 GiB","7 units","2 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$97.090000 monthly","$41.756000 monthly","$0.193 hourly","$0.144 hourly","$0.233 hourly","$0.117 hourly","$164.250000 monthly","$108.916000 monthly","$0.296 hourly","$0.247 hourly","$0.705 hourly","$0.656 hourly","unavailable","unavailable","$0.2006 hourly","$0.1516 hourly","$0.613 hourly","$0.564 hourly","unavailable","unavailable","0","unavailable"
"R5D Large","r5d.large","16.0 GiB","10 units","2 vCPUs","0","None","0 GiB","0","0","5 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","Yes","30","3","No","Yes","Yes","No","HVM","No","$105.120000 monthly","$46.720000 monthly","$0.204 hourly","$0.151 hourly","$0.207 hourly","$0.116 hourly","$172.280000 monthly","$113.880000 monthly","$0.304 hourly","$0.25 hourly","$0.716 hourly","$0.663 hourly","unavailable","unavailable","$0.212 hourly","$0.158 hourly","$0.624 hourly","$0.571 hourly","unavailable","unavailable","0","unavailable"
"T3A Extra Large","t3a.xlarge","16.0 GiB","Base performance:                 160%","4 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$109.792000 monthly","$47.450000 monthly","$0.2104 hourly","$0.1543 hourly","$0.2754 hourly","$0.1443 hourly","$163.520000 monthly","$101.178000 monthly","$0.2916 hourly","$0.2355 hourly","$0.704 hourly","$0.6479 hourly","$1.724 hourly","$1.6679 hourly","$0.218 hourly","$0.1619 hourly","$0.6304 hourly","$0.5743 hourly","$1.6504 hourly","$1.5943 hourly","0","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","7 units","2 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","475 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$113.880000 monthly","$55.480000 monthly","$0.216 hourly","$0.167 hourly","$0.256 hourly","$0.14 hourly","$181.040000 monthly","$122.640000 monthly","$0.319 hourly","$0.27 hourly","$0.728 hourly","$0.679 hourly","unavailable","unavailable","$0.224 hourly","$0.175 hourly","$0.636 hourly","$0.587 hourly","unavailable","unavailable","0","unavailable"
"R3 High-Memory Large","r3.large","15.25 GiB","6.5 units","2 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","32 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","Yes","No","Yes","No","HVM","No","$121.180000 monthly","unavailable","$0.226 hourly","$0.165 hourly","$0.266 hourly","$0.138 hourly","$212.430000 monthly","unavailable","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable","unavailable","$0.234 hourly","$0.162 hourly","$0.646 hourly","$0.574 hourly","unavailable","unavailable","unavailable","unavailable"
"T3 Extra Large","t3.xlarge","16.0 GiB","Base performance:                 160%","4 vCPUs                                                   for a                 9h 36m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$121.472000 monthly","$52.560000 monthly","$0.2264 hourly","$0.1643 hourly","$0.2914 hourly","$0.1543 hourly","$175.200000 monthly","$106.288000 monthly","$0.3076 hourly","$0.2455 hourly","$0.72 hourly","$0.6579 hourly","$1.74 hourly","$1.6779 hourly","$0.234 hourly","$0.1719 hourly","$0.6464 hourly","$0.5843 hourly","$1.6664 hourly","$1.6043 hourly","0","unavailable"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","17 units","4 vCPUs","0","None","0 GiB","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","HVM","Yes","$124.100000 monthly","$51.830000 monthly","$0.23 hourly","$0.167 hourly","$0.27 hourly","$0.14 hourly","$258.420000 monthly","$186.150000 monthly","$0.422 hourly","$0.359 hourly","$0.834 hourly","$0.771 hourly","$1.854 hourly","$1.791 hourly","$0.238 hourly","$0.175 hourly","$0.65 hourly","$0.587 hourly","$1.67 hourly","$1.607 hourly","$0.00 hourly","$0.043 hourly"
