,API_Name,monthly_cost,ratio
162,r5ad.12xlarge,2295.12,24.0
163,m4.16xlarge,2336.0,32.0
164,f1.4xlarge,2409.0,2.0
165,x1e.4xlarge,2435.28,4.0
166,i2.4xlarge,2489.3,3.9976553341148886
167,c5d.18xlarge,2522.88,36.0
168,r5d.12xlarge,2522.88,24.0
169,cr1.8xlarge,2555.0,1.0
170,m5d.16xlarge,2639.68,32.0
171,r5a.16xlarge,2639.68,32.0
172,h1.16xlarge,2733.12,8.0
173,c5n.18xlarge,2838.24,35.99999999999999
174,c5n.metal,2838.24,35.99999999999999
175,r5.16xlarge,2943.36,35.681415929203546
176,c5.24xlarge,2978.4,48.00000000000001
177,c5.metal,2978.4,48.00000000000001
178,m5a.24xlarge,3013.44,48.0
179,r4.16xlarge,3106.88,32.0
180,z1d.12xlarge,3258.72,24.0
181,z1d.metal,3258.72,24.0
182,g3.16xlarge,3328.8,6.08
183,hs1.8xlarge,3358.0,1.0
184,m5.24xlarge,3363.84,53.58139534883721
185,m5.metal,3363.84,53.58139534883721
186,r5d.16xlarge,3363.84,32.0
187,m5ad.24xlarge,3609.12,48.0
188,i3.16xlarge,3644.16,32.0
189,i3.metal,3644.16,32.0
190,i3en.12xlarge,3959.52,24.0
191,m5d.24xlarge,3959.52,48.0
192,m5d.metal,3959.52,48.0
193,r5a.24xlarge,3959.52,48.0
194,d2.8xlarge,4029.6,8.0
195,r5.24xlarge,4415.04,53.522123893805315
196,r5.metal,4415.04,53.522123893805315
197,r5ad.24xlarge,4590.24,48.0
198,x1.16xlarge,4868.37,7.996402877697841
199,x1e.8xlarge,4870.56,8.0
200,i2.8xlarge,4978.6,7.995310668229777
201,r5d.24xlarge,5045.76,48.0
202,r5d.metal,5045.76,48.0
203,p2.8xlarge,5256.0,8.0
204,i3en.24xlarge,7919.04,48.0
205,i3en.metal,7919.04,48.0
206,p3.8xlarge,8935.2,4.0
207,f1.16xlarge,9636.0,8.0
208,x1.32xlarge,9736.74,15.992805755395683
209,x1e.16xlarge,9741.12,16.0
210,p2.16xlarge,10512.0,16.0
211,p3.16xlarge,17870.4,8.0
212,x1e.32xlarge,19482.24,32.0
213,p3dn.24xlarge,22784.76,1.0
214,u-12tb1.metal,1.0,1.0
215,u-6tb1.metal,1.0,1.0
216,u-9tb1.metal,1.0,1.0
